normal,gen_z,literal_segments,slang_segments,literal_positions,slang_positions,num_differences
"Hey, I saw you at the mall yesterday and you looked really cool.","Yo, I peeped you at the mall yesterday and you were fire legit!","Hey, | saw | looked really cool.","Yo, | peeped | were fire legit!","[(0, 1), (2, 3), (10, 13)]","[(0, 1), (2, 3), (10, 13)]",3
"I'm just chilling at home, watching some videos online.","I'm just vibing at home, scrolling through vids online.",chilling | watching some videos,vibing | scrolling through vids,"[(2, 3), (5, 8)]","[(2, 3), (5, 8)]",2
I'm really tired after a long day at school.,"I'm totally drained after a long day at school, fr.",really tired | school.,"totally drained | school, fr.","[(1, 3), (8, 9)]","[(1, 3), (8, 10)]",2
I'm so tired after working all day.,"I'm totally drained after grindin' all day, fr fr.",so tired | working | day.,"totally drained | grindin' | day, fr fr.","[(1, 3), (4, 5), (6, 7)]","[(1, 3), (4, 5), (6, 9)]",3
I'm so tired today after staying up late yesterday.,I'm dead tired today after pulling an all-nighter yesterday.,so | staying up late,dead | pulling an all-nighter,"[(1, 2), (5, 8)]","[(1, 2), (5, 8)]",2
I'm so tired after staying up all night studying.,I'm mad zapped after pulling a midnight cram sesh.,so tired | staying up all night studying.,mad zapped | pulling a midnight cram sesh.,"[(1, 3), (4, 9)]","[(1, 3), (4, 9)]",2
I'm just really tired today and not in the mood to do anything.,"I'm so drained today, not tryna do anything rn.",just really tired today and | in the mood to | anything.,"so drained today, | tryna | anything rn.","[(1, 6), (7, 11), (12, 13)]","[(1, 4), (5, 6), (7, 9)]",3
I'm just going to hang out with some friends tonight.,I'm just chillin' with my crew tonight.,going to hang out | some friends,chillin' | my crew,"[(2, 6), (7, 9)]","[(2, 3), (4, 6)]",2
I'm thinking about going to the mall later to hang out with my friends.,I'm vibing to hit the mall later and kick it with my crew.,thinking about going | to hang out | friends.,vibing | hit | and kick it | crew.,"[(1, 4), (5, 5), (8, 11), (13, 14)]","[(1, 2), (3, 4), (7, 10), (12, 13)]",3
I'm really excited to see my friends later today.,I'm super hyped to hang with my crew later! 🔥,really excited | see | friends later today.,super hyped | hang with | crew later! 🔥,"[(1, 3), (4, 5), (6, 9)]","[(1, 3), (4, 6), (7, 10)]",3
I'm just going to grab some coffee and relax at home.,I'm just finna get some coffee and chill at home.,going to grab | relax,finna get | chill,"[(2, 5), (8, 9)]","[(2, 4), (7, 8)]",2
I'm feeling really tired today and just want to relax.,I'm dead tired today and just wanna chill out.,feeling really | want to relax.,dead | wanna chill out.,"[(1, 3), (7, 10)]","[(1, 2), (6, 9)]",2
"I'm just sitting at home, relaxing and watching some TV.","I'm chillin' at home, vibing and binge-watching some shows.",just sitting | relaxing | watching | TV.,chillin' | vibing | binge-watching | shows.,"[(1, 3), (5, 6), (7, 8), (9, 10)]","[(1, 2), (4, 5), (6, 7), (8, 9)]",4
I'm just really tired today and I don't feel like going out.,"I'm totally wiped today and not tryna step out, fr.",just really tired | I don't feel like going out.,"totally wiped | not tryna step out, fr.","[(1, 4), (6, 12)]","[(1, 3), (5, 10)]",2
I'm just going to grab a coffee and relax for a bit.,I'm just finna sip some java and chillax for a minute.,going to grab a coffee | relax | bit.,finna sip some java | chillax | minute.,"[(2, 7), (8, 9), (11, 12)]","[(2, 6), (7, 8), (10, 11)]",3
"I'm feeling really tired today, so I think I’ll just stay home and relax.","I'm dead tired today, so I’m just gonna chill at home and vibe.",feeling really | I think I’ll | stay | relax.,dead | I’m | gonna chill at | vibe.,"[(1, 3), (6, 9), (10, 11), (13, 14)]","[(1, 2), (5, 6), (7, 10), (12, 13)]",4
I can't believe how hot it is today!,"No cap, it's blazing today!",I can't believe how hot it is,"No cap, it's blazing","[(0, 7)]","[(0, 4)]",1
I just bought a new hoodie and I love how cozy it feels.,"Just copped a fresh hoodie and it's mad comfy, no cap!",I just bought | new | I love how cozy it feels.,"Just copped | fresh | it's mad comfy, no cap!","[(0, 3), (4, 5), (7, 13)]","[(0, 2), (3, 4), (6, 11)]",3
I'm so tired today because I stayed up late watching movies.,"I'm straight-up exhausted 'cause I was binge-watching movies till late, no cap.",so tired today because | stayed up late watching movies.,"straight-up exhausted 'cause | was binge-watching movies till late, no cap.","[(1, 5), (6, 11)]","[(1, 4), (5, 12)]",2
"Hey, I just got back from the store and bought some snacks.","Yo, just hit the store and snatched some snacks, fr fr!","Hey, I | got back from | bought | snacks.","Yo, | hit | snatched | snacks, fr fr!","[(0, 2), (3, 6), (9, 10), (11, 12)]","[(0, 1), (2, 3), (6, 7), (8, 11)]",4
I'm just chilling at home watching some TV.,"I'm just vibing solo, binge-watching shows at my place.",chilling | home watching some TV.,"vibing solo, binge-watching shows | my place.","[(2, 3), (4, 8)]","[(2, 6), (7, 9)]",2
I'm really tired after class today.,"I'm super drained after school today, fr.",really tired | class today.,"super drained | school today, fr.","[(1, 3), (4, 6)]","[(1, 3), (4, 7)]",2
I'm going to grab lunch with my friends later.,I'm finna grub with my crew later.,going to grab lunch | friends,finna grub | crew,"[(1, 5), (7, 8)]","[(1, 3), (5, 6)]",2
I'm just going to hang out with my friends at the mall today.,I'm just vibing at the mall with my friends today.,going to hang out | at the mall,vibing at the mall,"[(2, 6), (9, 12)]","[(2, 6), (9, 9)]",2
I'm really happy because I got a new phone yesterday.,I'm vibing 'cause I peeped a fresh new phone yesterday.,really happy because | got,vibing 'cause | peeped | fresh,"[(1, 4), (5, 6), (7, 7)]","[(1, 3), (4, 5), (6, 7)]",2
I'm just going to chill at home this weekend.,I'm just gonna vibe at home this weekend.,going to chill,gonna vibe,"[(2, 5)]","[(2, 4)]",1
"Hey, are you going to the cafe later?","Yo, you hitting up the café later or nah?","Hey, are | going to | cafe later?","Yo, | hitting up | café later or nah?","[(0, 2), (3, 5), (6, 8)]","[(0, 1), (2, 4), (5, 9)]",3
I'm really tired today and just want to stay in and relax.,"I'm mad tired today, just wanna chill at home and vibe.",really | today | just want to stay in and relax.,"mad | today, just wanna chill at home | vibe.","[(1, 2), (3, 4), (5, 12)]","[(1, 2), (3, 9), (10, 11)]",3
"Hey, I just finished studying for my test and I feel pretty good about it.","Yo, just wrapped my cramming sesh for the test and I’m vibing.","Hey, I | finished studying | my | I feel pretty good about it.","Yo, | wrapped my cramming sesh | the | I’m vibing.","[(0, 2), (3, 5), (6, 7), (9, 15)]","[(0, 1), (2, 6), (7, 8), (10, 12)]",4
"I'm really tired today, so I think I’ll just stay home and relax.","I'm totally dead today, so I'm just gonna chill at home and veg out.",really tired | I think I’ll | stay | relax.,totally dead | I'm | gonna chill at | veg out.,"[(1, 3), (5, 8), (9, 10), (12, 13)]","[(1, 3), (5, 6), (7, 10), (12, 14)]",4
I'm really tired after a long day of work.,I'm super drained after a whole day grind.,really tired | long | of work.,super drained | whole | grind.,"[(1, 3), (5, 6), (7, 9)]","[(1, 3), (5, 6), (7, 8)]",3
"Hey, do you want to go to the movies tonight?","Yo, wanna hit the movies tonight?","Hey, do you want to go to","Yo, wanna hit","[(0, 7)]","[(0, 3)]",1
"Hey, do you want to grab a snack after school?","Yo, you tryna hit up for snacks after class?","Hey, do | want to grab a snack | school?","Yo, | tryna hit up for snacks | class?","[(0, 2), (3, 8), (9, 10)]","[(0, 1), (2, 7), (8, 9)]",3
Let's grab some coffee and chill at the park.,"Yo, let's get some java and vibey at the park, fr.",Let's grab | coffee | chill | park.,"Yo, let's get | java | vibey | park, fr.","[(0, 2), (3, 4), (5, 6), (8, 9)]","[(0, 3), (4, 5), (6, 7), (9, 11)]",4
I'm just trying to relax at home after a long day.,"I'm just vibing at home after a whole day, no cap.",trying to relax | long day.,"vibing | whole day, no cap.","[(2, 5), (9, 11)]","[(2, 3), (7, 11)]",2
"Hey, do you want to grab some food later?","Yo, wanna hit up some munchies later?","Hey, do you want to grab | food","Yo, wanna hit up | munchies","[(0, 6), (7, 8)]","[(0, 4), (5, 6)]",2
I'm really tired today and just want to stay home.,I'm hella drained today and just wanna vibe at home.,really tired | want to stay,hella drained | wanna vibe at,"[(1, 3), (6, 9)]","[(1, 3), (6, 9)]",2
"Hey, I just finished my homework and I'm really tired.","Yo, just wrapped up my homework and I'm deadass exhausted.","Hey, I | finished | really tired.","Yo, | wrapped up | deadass exhausted.","[(0, 2), (3, 4), (8, 10)]","[(0, 1), (2, 4), (8, 10)]",3
I'm just going to chill at home and watch some YouTube videos.,I'm just gonna vibe at home and binge some YouTube vids.,going to chill | watch | videos.,gonna vibe | binge | vids.,"[(2, 5), (8, 9), (11, 12)]","[(2, 4), (7, 8), (10, 11)]",3
I'm going to the grocery store to buy some food.,I'm heading to the store to snag some snacks.,going | grocery | buy | food.,heading | snag | snacks.,"[(1, 2), (4, 5), (7, 8), (9, 10)]","[(1, 2), (4, 4), (6, 7), (8, 9)]",4
"Hey, I'm going to grab some coffee before work.","Yo, I'm about to hit up Starbucks before work, fr.","Hey, | going | grab some coffee | work.","Yo, | about | hit up Starbucks | work, fr.","[(0, 1), (2, 3), (4, 7), (8, 9)]","[(0, 1), (2, 3), (4, 7), (8, 10)]",4
I'm really tired after working all day today.,"I'm so drained after grinding all day, fr.",really tired | working | day today.,"so drained | grinding | day, fr.","[(1, 3), (4, 5), (6, 8)]","[(1, 3), (4, 5), (6, 8)]",3
I'm just going to relax and watch some videos tonight.,I'm just gonna chill and scroll through some vids tonight.,going to relax | watch | videos,gonna chill | scroll through | vids,"[(2, 5), (6, 7), (8, 9)]","[(2, 4), (5, 7), (8, 9)]",3
"I'm really tired, I think I'll just stay home and relax today.","I'm dead tired, lowkey just gonna chill at home today.",really | I think I'll | stay | and relax,dead | lowkey | gonna chill at,"[(1, 2), (3, 6), (7, 8), (9, 11)]","[(1, 2), (3, 4), (5, 8), (9, 9)]",4
I'm just really tired after studying all day.,"I'm totally drained after grinding all day, fr fr.",just really tired | studying | day.,"totally drained | grinding | day, fr fr.","[(1, 4), (5, 6), (7, 8)]","[(1, 3), (4, 5), (6, 9)]",3
"Hey, are you going to the party tonight?","Yo, you hitting the party tonight or nah?","Hey, are | going to | tonight?","Yo, | hitting | tonight or nah?","[(0, 2), (3, 5), (7, 8)]","[(0, 1), (2, 3), (5, 8)]",3
I'm so tired after the long day at work.,I'm totally drained after grinding all day at work.,so tired | the long,totally drained | grinding all,"[(1, 3), (4, 6)]","[(1, 3), (4, 6)]",2
I'm just going to relax at home and listen to some music.,"Chillin' at home, vibing to some tunes, no cap.",I'm just going to relax | home and listen | music.,"Chillin' | home, vibing | tunes, no cap.","[(0, 5), (6, 9), (11, 12)]","[(0, 1), (2, 4), (6, 9)]",3
I'm really excited for the weekend to hang out with my friends.,I'm so hyped for the weekend to flex with my squad.,really excited | hang out | friends.,so hyped | flex | squad.,"[(1, 3), (7, 9), (11, 12)]","[(1, 3), (7, 8), (10, 11)]",3
"Hey, I just finished my homework and I’m ready to chill.","Yo, I just knocked out my homework and I’m all set to vibe.","Hey, | finished | ready | chill.","Yo, | knocked out | all set | vibe.","[(0, 1), (3, 4), (8, 9), (10, 11)]","[(0, 1), (3, 5), (9, 11), (12, 13)]",4
"Hey, I just saw a really cool video online.","Yo, just peeped a sick vid online!","Hey, I | saw | really cool video online.","Yo, | peeped | sick vid online!","[(0, 2), (3, 4), (5, 9)]","[(0, 1), (2, 3), (4, 7)]",3
"Hey, I was just sitting outside and enjoying the nice weather.","Yo, I was chillin' outside and vibing with the good weather.","Hey, | just sitting | enjoying | nice","Yo, | chillin' | vibing with | good","[(0, 1), (3, 5), (7, 8), (9, 10)]","[(0, 1), (3, 4), (6, 8), (9, 10)]",4
I'm just going for a walk in the park to relax.,I'm just vibing with a walk in the park to chill.,going for | relax.,vibing with | chill.,"[(2, 4), (10, 11)]","[(2, 4), (10, 11)]",2
"Hey, are you free to grab coffee later?","Yo, are you down to grab some coffee later?","Hey, | free","Yo, | down | some","[(0, 1), (3, 4), (6, 6)]","[(0, 1), (3, 4), (6, 7)]",2
I'm going to the mall to hang out with my friends.,I'm hitting the mall to kick it with my squad.,going to | hang out | friends.,hitting | kick it | squad.,"[(1, 3), (6, 8), (10, 11)]","[(1, 2), (5, 7), (9, 10)]",3
I'm really tired today because I didn’t sleep well last night.,I'm super wiped today 'cause I didn’t catch enough Z's last night.,really tired | because | sleep well,super wiped | 'cause | catch enough Z's,"[(1, 3), (4, 5), (7, 9)]","[(1, 3), (4, 5), (7, 10)]",3
I'm just feeling pretty tired today.,I'm vibing kinda exhausted today.,just feeling pretty tired,vibing kinda exhausted,"[(1, 5)]","[(1, 4)]",1
I'm just trying to relax and watch some videos tonight.,I'm just tryna chill and binge some vids tonight.,trying to relax | watch | videos,tryna chill | binge | vids,"[(2, 5), (6, 7), (8, 9)]","[(2, 4), (5, 6), (7, 8)]",3
I'm just relaxing at home and listening to music.,"Chillin' at my pad, vibing out to some tunes.",I'm just relaxing | home and listening | music.,"Chillin' | my pad, vibing out | some tunes.","[(0, 3), (4, 7), (8, 9)]","[(0, 1), (2, 6), (7, 9)]",3
I'm really tired today so I think I want to stay home and relax.,"I'm super drained today, so I might just chill at home and vibe out.",really tired today | think I want to stay | relax.,"super drained today, | might just chill at | vibe out.","[(1, 4), (6, 11), (13, 14)]","[(1, 4), (6, 10), (12, 14)]",3
I'm really excited to go to the new cafe downtown.,"I'm super hyped to hit up the new spot downtown, it's gonna be fire!",really excited | go to | cafe downtown.,"super hyped | hit up | spot downtown, it's gonna be fire!","[(1, 3), (4, 6), (8, 10)]","[(1, 3), (4, 6), (8, 14)]",3
"Hey, do you want to grab a bite to eat later?","Yo, wanna catch some grub later?","Hey, do you want to grab a bite to eat","Yo, wanna catch some grub","[(0, 10)]","[(0, 5)]",1
I'm just really tired today and feel like staying in bed.,"I'm mad drained today and just wanna click 'snooze' on life, fr.",just really tired | feel like staying in bed.,"mad drained | just wanna click 'snooze' on life, fr.","[(1, 4), (6, 11)]","[(1, 3), (5, 12)]",2
I'm just trying to get through the day and stay positive.,I'm just vibing through the day and keeping it chill.,trying to get | stay positive.,vibing | keeping it chill.,"[(2, 5), (9, 11)]","[(2, 3), (7, 10)]",2
"I'm really tired after a long day, so I'm just going to relax at home.","I'm super wiped from the day, so I'm just chillin' at home.",really tired after a long | going to relax,super wiped from the | chillin',"[(1, 6), (10, 13)]","[(1, 5), (9, 10)]",2
I'm really excited about the concert this weekend!,"OMG, I’m so hyped for the concert this weekend!",I'm really excited about,"OMG, I’m so hyped for","[(0, 4)]","[(0, 5)]",1
I'm just relaxing at home and watching some Netflix.,"I'm just chillin' at home and binging some Netflix, no cap.",relaxing | watching | Netflix.,"chillin' | binging | Netflix, no cap.","[(2, 3), (6, 7), (8, 9)]","[(2, 3), (6, 7), (8, 11)]",3
"Hey, I just got back from the mall with my friends.","Yo, just dipped from the mall with my squad, fr fr.","Hey, I | got back | friends.","Yo, | dipped | squad, fr fr.","[(0, 2), (3, 5), (10, 11)]","[(0, 1), (2, 3), (8, 11)]",3
