normal,paraphrase,literal_segments,paraphrase_segments,literal_positions,paraphrase_positions,num_differences
"He was elected in 1977 , and in April 1978 was re-elected to the newly created Court of Appeals District 1 .",He was elected in 1977 and was re-elected in April 1978 to the newly created Court of Appeal 1 .,", | was re-elected | Appeals District",was re-elected | Appeal,"[(5, 6), (10, 12), (18, 20)]","[(6, 8), (17, 18)]",2
"Eoacmaea chamorrorum is a species of sea snail , a true limpet , a marine gastropod mollusk in the family Eoacmaeidae , one of the families of true limpets .","Eoacmaea chamorrorum is a species of sea snail , a true limpet , a marine gastropod mollusk in the Eoacmaeidae family , one of the families of the true limpets .",family,family | the,"[(19, 20)]","[(20, 21), (27, 28)]",2
"On August 12 , 2003 Kottonmouth Kings released their 3rd Compilation - Album , their 9th General Album and their 1st Live album , Classic Hits Live .","On August 12 , 2003 Kottonmouth Kings released their 3rd Compilation - Album , their 1st Live album and their 9th total album , Classic Hits Live .",9th General Album and their,album and their 9th total,"[(15, 20)]","[(17, 22)]",1
"This is also a shearing effect : when the focal length is smaller , the shearing effect is larger .","This is also a shearing effect : when the focal length is smaller , the shearing effect is greater .",larger,greater,"[(18, 19)]","[(18, 19)]",1
Glenn Howard won the Ontario Championship for the 17th time as either third or skip .,For the 17th time the Glenn Howard won the Ontario Championship as third or skip .,for the 17th time | either,For the 17th time the,"[(6, 10), (11, 12)]","[(0, 5)]",1
The 1995 -- 96 Bayern Munich season was their 31st season of existence and 95th Bundesliga season .,The season 1995 -- 96 of FC Bayern Munich was their 31st season of existence and the 95th Bundesliga season .,season,season | of FC | the,"[(6, 7)]","[(1, 2), (5, 7), (16, 17)]",3
"From 3 March 1989 to 2 February 1990 , he was Governor of Bihar , from July 27 , 2009 to July 26 , 2014 , as Governor of Haryana .",He was governor of Bihar from 3 March 1989 to 2 February 1990.He served as the governor of Haryana from 27 July 2009 to 26 July 2014 .,"From | 1990 , he was Governor of Bihar , from July 27 , 2009 to July 26 , 2014 , | Governor",He was governor of Bihar from | 1990.He served | the governor | from 27 July 2009 to 26 July 2014,"[(0, 1), (7, 26), (27, 28)]","[(0, 6), (12, 14), (15, 17), (19, 27)]",4
"Ruhollah Khomeini was appointed Chief Prosecutor by Fallahian in 1987 as Chief Prosecutor of the Special Court for the Clergy , and led the trial of Mehdi Hashemi .",In 1987 Ruhollah Khomeini was appointed by Fallahian as chief prosecutor of the Special Court for the Clergy and led the trial against Mehdi Hashemi .,"Chief Prosecutor | in 1987 | Chief Prosecutor | , | of",In 1987 | chief prosecutor | against,"[(4, 6), (8, 10), (11, 13), (20, 21), (25, 26)]","[(0, 2), (9, 11), (22, 23)]",3
"He currently lives in Ridgefield , Connecticut , with his wife Cynthia . He has four children : Lindsay , Heather , Jason , and Rebecca .","He lives with his wife Cynthia in Ridgefield , Connecticut , and has four children : Jason , Heather , Lindsay and Rebecca .","currently | with his wife Cynthia . He | Lindsay | Jason ,",with his wife Cynthia | and | Jason | Lindsay,"[(1, 2), (8, 14), (18, 19), (22, 24)]","[(2, 6), (11, 12), (16, 17), (20, 21)]",4
Woodstock was founded in 1804 as a town from a part of the town of Shandaken .,Woodstock was established as a town in 1804 from part of the Town of Shandaken .,founded in 1804 | a | town,established | in 1804 | Town,"[(2, 5), (9, 10), (13, 14)]","[(2, 3), (6, 8), (12, 13)]",3
"In return , Grimoald gave him his daughter in marriage and granted him the duchy of Spoleto after the death of Atto .","In return , Grimoald gave him his daughter to marriage and granted him the duchy of Spoleto after the death of Atto .",in,to,"[(8, 9)]","[(8, 9)]",1
"Species such as `` T. eurycephalus '' , however had a deeper rostrum and a shorter skull .","However , species such as '' T. eurycephalus '' had a lower rostrum and a shorter skull .","Species | `` | , however | deeper","However , species | '' | lower","[(0, 1), (3, 4), (7, 9), (11, 12)]","[(0, 3), (5, 6), (11, 12)]",3
"There are approximately 2,000 islands along the coastline , almost three quarters of which are uninhabited .","There are about 2,000 islands along the coastline , almost three quarters of which are uninhabited .",approximately,about,"[(2, 3)]","[(2, 3)]",1
"The March 2000 issue had a French issue , and in 2002 a `` limited edition appeared .","The March 2000 issue had a French edition , and a hardcover `` limited '' edition appeared in 2002 .",issue | in 2002,edition | hardcover | '' | in 2002,"[(7, 8), (10, 12)]","[(7, 8), (11, 12), (14, 15), (17, 19)]",4
"Wichita North High School was the second high school in the city of Wichita , completed in 1929 . Wichita East High School was the first high school .","Wichita North High School was the second high school in the city of Wichita , completed in 1929 , Wichita East High School was the first high school..",. | school .,", | school..","[(18, 19), (27, 29)]","[(18, 19), (27, 28)]",2
"According to the US Census Bureau , the county is a total surface area of which is land and has water ( 17.6 % ) .","According to the U.S. Census Bureau , the county has a total area of which is land and ( 17.6 % ) water .",US | is | surface | has water,U.S. | has | water,"[(3, 4), (9, 10), (12, 13), (19, 21)]","[(3, 4), (9, 10), (22, 23)]",3
"He died in his home in Trenton on July 23 , 1942 , and is buried in the Old Broad Street Presbyterian Church and Cemetery in Bridgeton .","He died on July 23 , 1942 at his home in Trenton and is buried at the Old Broad Street Presbyterian Church and Cemetery in Bridgeton .","in his home in Trenton | , | in",at his home in Trenton | at,"[(2, 7), (12, 13), (16, 17)]","[(7, 12), (15, 16)]",2
"UACCM is located along Interstate 40 approximately west of Little Rock in the town of Morrilton in Conway County , Arkansas .","UACCM is located along Interstate 40 about west of Little Rock in the town of Morrilton in Conway County , Arkansas .",approximately,about,"[(6, 7)]","[(6, 7)]",1
Sir Roger Martyn ( or Martin ) was a mercer and Lord Mayor of London in 1567 ; he was also Sheriff of London in 1559 .,"Sir Roger Martyn ( or Martin ) was Mercer and Lord Mayor of London in 1567 , he was Sheriff of London in 1559 .",a mercer | ; | also,"Mercer | ,","[(8, 10), (17, 18), (20, 21)]","[(8, 9), (16, 17)]",2
"The manuscript was examined by Montfaucon , Wettstein and Cramer , examined and described by Paulin Martin , and C. R. Gregory saw the manuscript in 1885 .","The manuscript was examined by Montfaucon , Wettstein , and Cramer . It was described and examined by Paulin Martin . C. R. Gregory saw the manuscript in 1885 .",", examined and | , and",", | . It was | and examined | .","[(10, 13), (17, 19)]","[(8, 9), (11, 14), (15, 17), (20, 21)]",4
The NBA season between 1982 and 83 was the 37th season of the National Basketball Association .,The season from 1982 to 83 National Basketball Association was the 37th season of the NBA .,NBA | between | and | National Basketball Association,from | to | National Basketball Association | NBA,"[(1, 2), (3, 4), (5, 6), (13, 16)]","[(2, 3), (4, 5), (6, 9), (15, 16)]",4
Problem-specific methods are needed to find the cuts used by this method .,"In order to find the cuts used by this method , problem-specific methods are needed .",Problem-specific methods are needed,"In order | , problem-specific methods are needed","[(0, 4)]","[(0, 2), (10, 15)]",2
"Today , 146 of his works are shown in the Art Museum of Georgia and exhibited sixteen paintings in the Historical - Ethnographic Museum of Sighnaghi .","Today , 146 of his works are exhibited in the Art Museum of Georgia and sixteen paintings are shown in the Historical-Ethnographic Museum of Sighnaghi .",shown | exhibited | Historical - Ethnographic,exhibited | are shown | Historical-Ethnographic,"[(7, 8), (15, 16), (20, 23)]","[(7, 8), (17, 19), (21, 22)]",3
"The river Vidăcut or Hidecut is a tributary of the Eliseni River , in Romania","The Vidăcut River or Hidecut River is a tributary of the Eliseni River , in Romania",river,River | River,"[(1, 2)]","[(2, 3), (5, 6)]",2
"Stuart married Kerri McKeehan , sister of TobyMac , in 1995 .","In 1995 she married Stuart Kerri McKeehan , the sister of TobyMac .","Stuart | , in 1995",In 1995 she | Stuart | the,"[(0, 1), (8, 11)]","[(0, 3), (4, 5), (8, 9)]",3
"Matsumoto played before for Kyoto Purple Sanga , Shonan Bellmare and Tokushima Vortis .","Matsumoto played previously for Tokushima Vortis , Shonan Bellmare and Kyoto Purple Sanga .",before | Kyoto Purple Sanga | Tokushima Vortis,previously | Tokushima Vortis | Kyoto Purple Sanga,"[(2, 3), (4, 7), (11, 13)]","[(2, 3), (4, 6), (10, 13)]",3
"According to the United States Census Bureau , Irvine is a total surface area of which land is and , or 5.13 % , has water .","According to the United States Census Bureau , Irvine has a total area of which land and , or 5.13 % , is water .",is | surface | is | has,has | is,"[(9, 10), (12, 13), (17, 18), (24, 25)]","[(9, 10), (22, 23)]",2
"In August 1927 , Yang finished his marriage with Mao and began a relationship with He Zizhen in early 1928 .","In August 1927 , Yang ended his marriage with Mao and , in early 1928 , he began a relationship with He Zizhen .",finished | in early 1928,"ended | , in early 1928 , he","[(5, 6), (17, 20)]","[(5, 6), (11, 17)]",2
"On December 30 , 1888 , Susie married Clarke Brown in Ayer , Massachusetts .","On December 30 , 1888 , she married Susie J. Clarke in Ayer , Massachusetts .",Susie | Brown,she | Susie J.,"[(6, 7), (9, 10)]","[(6, 7), (8, 10)]",2
The Sic River is a tributary of the Seolemai River in Romania .,The River Sic is a tributary of the River Seolemai in Romania .,Sic | Seolemai,Sic | Seolemai,"[(1, 2), (8, 9)]","[(2, 3), (9, 10)]",2
"28.4 % were of Polish , 25.0 % German , 20.0 % Irish , 13.2 % Slovak , 8.5 % English , and 7.7 % Italian ancestries .","28.4 % were Polish , 25.0 % German , 20.0 % Irish , 13.2 % Slovak , 8.5 % English and 7.7 % of Italian ancestors .","of | , | ancestries",of | ancestors,"[(3, 4), (21, 22), (26, 27)]","[(23, 24), (25, 26)]",2
Henry Lowther died in 1872 and because he had no legitimate heirs the Lowther Estates were passed to his nephew William .,"Lowther died in 1872 and because he had no legitimate heirs , the Lowther Estates were handed over to his nephew William .",Henry | passed,", | handed over","[(0, 1), (16, 17)]","[(11, 12), (16, 18)]",2
Lebilaango is a town in the central Somalia region of Hiran .,Lebilaango is a city in the central Somalia region of Hiran .,town,city,"[(3, 4)]","[(3, 4)]",1
"This victory repeated this victory in an Opel Astra in 2003 with Reuter , Marcel Tiemann , Volker Strycek and Timo Scheider .","This victory repeated in an Opel Astra in 2003 with Reuter , Timo Scheider , Volker Strycek and Marcel Tiemann this victory .",this victory | Marcel Tiemann | Timo Scheider,Timo Scheider | Marcel Tiemann this victory,"[(3, 5), (14, 16), (20, 22)]","[(12, 14), (18, 22)]",2
"Garcia appeared in his first concert at the age of nine , and since then he performed alone or with his aunt and uncle in all parts of France .","At the age of nine , he appeared in his first concert and since then he has appeared alone or with his aunt and uncle in all parts of France .",Garcia appeared in his first concert at | performed,At | he appeared in his first concert | has appeared,"[(0, 7), (16, 17)]","[(0, 1), (6, 12), (16, 18)]",3
Trenčianske Jastrabie is a village and municipality in Trenčín District in the Trenčín Region of northwestern Slovakia .,Trenčianske Jastrabie is a village and municipality in the Trenčín district in the region of Trenčín in northwestern Slovakia .,Trenčín District in | Region,district in the region | Trenčín in,"[(8, 11), (13, 14)]","[(10, 14), (15, 17)]",2
"Ann is married to Ann , with Jennifer Aull at the Greenpoint Reformed Church in Brooklyn pastors .","Ann is married to Ann , who pastors with Jennifer Aull in the Greenpoint Reformed Church in Brooklyn .",at | pastors,who pastors | in,"[(9, 10), (16, 17)]","[(6, 8), (11, 12)]",2
