term,gloss,gen_z,normal,slang_word,literal_replacement,slang_word_position,slang_positions,literal_positions
badassy,how a weak pathetic powerless individual often acts in order to put on a front of being tough,Nobody warned me about badassy.,Nobody warned me about how a weak pathetic powerless individual often acts in order to put on a front of being tough.,badassy,how a weak pathetic powerless individual often acts in order to put on a front of being tough.,4,"[(4, 5)]","[(4, 22)]"
cucumbrance,collective noun for a group of very cool people,You look cucumbrance tonight!,You look collective noun for a group of very cool people tonight!,cucumbrance,collective noun for a group of very cool people,2,"[(2, 3)]","[(2, 11)]"
boortz,"the talkmaster, a [libertarian] talk show host based in atlanta",Have you dealt with boortz before?,"Have you dealt with the talkmaster, a [libertarian] talk show host based in atlanta before?",boortz,"the talkmaster, a [libertarian] talk show host based in atlanta",4,"[(4, 5)]","[(4, 14)]"
battousai,the nickname of kenshin himura in the tokugawa era when he was a bloody assassin,This is textbook battousai.,This is a textbook case of the nickname of kenshin himura in the tokugawa era when he was a bloody assassin.,battousai,a | case of the nickname of kenshin himura in the tokugawa era when he was a bloody assassin.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 21)]"
fergilicious,"""apparently what you get when you combine ""delicious"" and ""fergie""",We've reached peak fergilicious.,"We've reached peak apparently what you get when you combine ""delicious"" and ""fergie.",fergilicious,"apparently what you get when you combine ""delicious"" and ""fergie.",3,"[(3, 4)]","[(3, 13)]"
cheef,to spark a phatty bowl,The cheef was unbearable.,The to spark a phatty bowl was unbearable.,cheef,to spark a phatty bowl,1,"[(1, 2)]","[(1, 6)]"
choade,a cock that is wider than its length,Nobody warned me about choade.,Nobody warned me about a cock that is wider than its length.,choade,a cock that is wider than its length.,4,"[(4, 5)]","[(4, 12)]"
apatheist,"someone who doesn't have any really set belief in anything, and doesn't really care",My coworker is such a apatheist.,"My coworker is someone who doesn't have any really set belief in anything, and doesn't really care.",apatheist,"someone who doesn't have any really set belief in anything, and doesn't really care.",5,"[(3, 6)]","[(3, 17)]"
bbiab,abbv for be back in a bit,Have you dealt with bbiab before?,Have you dealt with abbv for be back in a bit before?,bbiab,abbv for be back in a bit,4,"[(4, 5)]","[(4, 11)]"
donorcycle,nursing slang for a motorcycle,This is textbook donorcycle.,This is a textbook case of nursing slang for a motorcycle.,donorcycle,a | case of nursing slang for a motorcycle.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 11)]"
authoritah,"""the pronunciation of the word ""authority"" most frequently employed by [cartman] from the show [south park] (or by others in connection with him)",We've reached peak authoritah.,"We've reached peak the pronunciation of the word ""authority"" most frequently employed by [cartman] from the show [south park] (or by others in connection with him).",authoritah,"the pronunciation of the word ""authority"" most frequently employed by [cartman] from the show [south park] (or by others in connection with him).",3,"[(3, 4)]","[(3, 26)]"
chirpsing,"""slang for ""chatting up""",Is chirpsing even allowed here?,"Is slang for ""chatting up even allowed here?",chirpsing,"slang for ""chatting up",1,"[(1, 2)]","[(1, 5)]"
caddywhompus,"crooked, uneven, broken, ass-backwards and sideways",Nobody warned me about caddywhompus.,"Nobody warned me about crooked, uneven, broken, ass-backwards and sideways.",caddywhompus,"crooked, uneven, broken, ass-backwards and sideways.",4,"[(4, 5)]","[(4, 10)]"
fazy,fuckin lazy,I can't handle this fazy anymore.,I can't handle this situation of fuckin lazy anymore.,fazy,situation of fuckin lazy,4,"[(4, 5)]","[(4, 8)]"
assbag,a complete asshole,Have you dealt with assbag before?,Have you dealt with a complete asshole before?,assbag,a complete asshole,4,"[(4, 5)]","[(4, 7)]"
mingebag,the basic name for the half-life 2 modification garry's mod,This is textbook mingebag.,This is a textbook case of the basic name for the half-life 2 modification garry's mod.,mingebag,a | case of the basic name for the half-life 2 modification garry's mod.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 16)]"
dardy,"the coolest of cool, nothing else can compare to something so cool",You look dardy tonight!,"You look the coolest of cool, nothing else can compare to something so cool tonight!",dardy,"the coolest of cool, nothing else can compare to something so cool",2,"[(2, 3)]","[(2, 14)]"
darksydephil,its your classic scrub! seen on youtube making an idiot of himself,The darksydephil was unbearable.,The its your classic scrub! seen on youtube making an idiot of himself was unbearable.,darksydephil,its your classic scrub! seen on youtube making an idiot of himself,1,"[(1, 2)]","[(1, 13)]"
bmaras,the act of being black to your friends/relatives,The art of bmaras takes practice.,The art of being black to your friends/relatives takes practice.,bmaras,being black to your friends/relatives,3,"[(3, 4)]","[(3, 8)]"
brionna,a girl who is amazing inside and out,I can't handle this brionna anymore.,I can't handle this situation of a girl who is amazing inside and out anymore.,brionna,situation of a girl who is amazing inside and out,4,"[(4, 5)]","[(4, 14)]"
chucktown,"another name for charleston, south carolina",Have you dealt with chucktown before?,"Have you dealt with another name for charleston, south carolina before?",chucktown,"another name for charleston, south carolina",4,"[(4, 5)]","[(4, 10)]"
hefer,a negative word towards a female,This is textbook hefer.,This is a textbook case of a negative word towards a female.,hefer,a | case of a negative word towards a female.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 12)]"
chubadub,someone who is chubby [fat] [chunky] [lard-ass] [lard] [fatass],Are you really being a chubadub right now?,Are you really is chubby [fat] [chunky] [lard-ass] [lard] [fatass] right now?,chubadub,is chubby [fat] [chunky] [lard-ass] [lard] [fatass],5,"[(3, 6)]","[(3, 10)]"
bootilicious,to be very sexy,The bootilicious was unbearable.,The to be very sexy was unbearable.,bootilicious,to be very sexy,1,"[(1, 2)]","[(1, 5)]"
lovatic,a demi lovato fan,Nobody warned me about lovatic.,Nobody warned me about a demi lovato fan.,lovatic,a demi lovato fan.,4,"[(4, 5)]","[(4, 8)]"
assrape,anal sex without consent,I can't handle this assrape anymore.,I can't handle this situation of anal sex without consent anymore.,assrape,situation of anal sex without consent,4,"[(4, 5)]","[(4, 10)]"
chorg,the sound made when someone gives head to deep and almost chokes,Have you dealt with chorg before?,Have you dealt with the sound made when someone gives head to deep and almost chokes before?,chorg,the sound made when someone gives head to deep and almost chokes,4,"[(4, 5)]","[(4, 16)]"
cilf,calculator i'd like (to) function,This is textbook cilf.,This is a textbook case of calculator i'd like (to) function.,cilf,a | case of calculator i'd like (to) function.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 11)]"
amerijuanica,"the country where it's legal to grow, and consume your own tasty herbs with medicinal properties",We've reached peak amerijuanica.,"We've reached peak the country where it's legal to grow, and consume your own tasty herbs with medicinal properties.",amerijuanica,"the country where it's legal to grow, and consume your own tasty herbs with medicinal properties.",3,"[(3, 4)]","[(3, 19)]"
clingons,clingons---those little pieces of shit that remains on your ass after you wipe yourself,The clingons was unbearable.,The clingons---those little pieces of shit that remains on your ass after you wipe yourself was unbearable.,clingons,clingons---those little pieces of shit that remains on your ass after you wipe yourself,1,"[(1, 2)]","[(1, 15)]"
bowcat,when a male licks the female gential,We experienced major bowcat today.,We experienced male licks the female gential today.,bowcat,male licks the female gential,3,"[(2, 4)]","[(2, 7)]"
cacapoopoopeepeeshire,one of the possible names for what is now rhode island,I can't handle this cacapoopoopeepeeshire anymore.,I can't handle this situation of one of the possible names for what is now rhode island anymore.,cacapoopoopeepeeshire,situation of one of the possible names for what is now rhode island,4,"[(4, 5)]","[(4, 17)]"
backsack,the part of a man no one should ever have to see,Have you dealt with backsack before?,Have you dealt with the part of a man no one should ever have to see before?,backsack,the part of a man no one should ever have to see,4,"[(4, 5)]","[(4, 16)]"
holyfuckinguacamoley,"""a term used to describe something so unbelievable that words like ""wow"", ""oh my gosh"", ""holy fuck"", ""unbelievable"", etc",This is textbook holyfuckinguacamoley.,"This is a textbook case of a term used to describe something so unbelievable that words like ""wow"", ""oh my gosh"", ""holy fuck"", ""unbelievable"", etc.",holyfuckinguacamoley,"a | case of a term used to describe something so unbelievable that words like ""wow"", ""oh my gosh"", ""holy fuck"", ""unbelievable"", etc.",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 25)]"
beezie,"""a word meaning b*tch made popular by andre ""mac dre"" hicks",We've reached peak beezie.,"We've reached peak a word meaning b*tch made popular by andre ""mac dre"" hicks.",beezie,"a word meaning b*tch made popular by andre ""mac dre"" hicks.",3,"[(3, 4)]","[(3, 14)]"
cunninglus,oh' so yummy how to make women orgasm by giving women oral sex (cunninglus) to make her cum or the art of eating pussy,The cunninglus was unbearable.,The oh' so yummy how to make women orgasm by giving women oral sex (cunninglus) to make her cum or the art of eating pussy was unbearable.,cunninglus,oh' so yummy how to make women orgasm by giving women oral sex (cunninglus) to make her cum or the art of eating pussy,1,"[(1, 2)]","[(1, 25)]"
jocker,a person who copies the style of an other person,Don't be a jocker.,Don't be someone who copies the style of an other person.,jocker,someone who copies the style of an other person.,3,"[(2, 4)]","[(2, 11)]"
darksided,"the bane of every godwarrior! to read harry potter books, or not to live at the freakin church! to be wiccan, pagan, or anything other than christian",I can't handle this darksided anymore.,"I can't handle this situation of the bane of every godwarrior! to read harry potter books, or not to live at the freakin church! to be wiccan, pagan, or anything other than christian anymore.",darksided,"situation of the bane of every godwarrior! to read harry potter books, or not to live at the freakin church! to be wiccan, pagan, or anything other than christian",4,"[(4, 5)]","[(4, 33)]"
