normal,identical,literal_segments,identical_segments,literal_positions,identical_positions,num_differences
"Since the 19th century , artificial beings are common in fiction , as in Karel Čapek 's `` Frankenstein '' or Mary Shelley 's `` R.U.R '' .","Since the 19th century , artificial beings are common in fiction , as in Karel Čapek 's `` Frankenstein '' or Mary Shelley 's `` R.U.R '' .",Karel,Karel,"[(14, 15)]","[(14, 15)]",0
"In 1872 , Sir James married John Nairne Forman ( December 20 , 1929 ) , daughter of Helen Margaret von Staffa , WS .","In 1872 , Sir James married John Nairne Forman ( December 20 , 1929 ) , daughter of Helen Margaret von Staffa , WS .",",",",","[(12, 13)]","[(12, 13)]",0
"Thrasamund died in 523 and was succeeded by his cousin Hilderic , the firstborn son of Huneric .","Thrasamund died in 523 and was succeeded by his cousin Hilderic , the firstborn son of Huneric .",cousin,cousin,"[(9, 10)]","[(9, 10)]",0
"Formally , Bridgeville was part of Rock Hill .","Formally , Bridgeville was part of Rock Hill .",part,part,"[(4, 5)]","[(4, 5)]",0
The village of Mineral Hills and the city of Stambaugh were consolidated with the city of Iron River with effect from 1 July 2000 .,The village of Mineral Hills and the city of Stambaugh were consolidated with the city of Iron River with effect from 1 July 2000 .,with,with,"[(12, 13)]","[(12, 13)]",0
"Blackedge was collaborating with Brad Nessler and Sideline Reporter Erin Andrews for the 2009 season , while Patrick collaborated with Craig James and Sideline Reporter Heather Cox .","Blackedge was collaborating with Brad Nessler and Sideline Reporter Erin Andrews for the 2009 season , while Patrick collaborated with Craig James and Sideline Reporter Heather Cox .",season,season,"[(14, 15)]","[(14, 15)]",0
"Easthope , born at Tewkesbury on 29 October 1784 , was the eldest son of Elizabeth by Thomas Easthope , daughter of John Leaver of Overbury , Worcestershire .","Easthope , born at Tewkesbury on 29 October 1784 , was the eldest son of Elizabeth by Thomas Easthope , daughter of John Leaver of Overbury , Worcestershire .",of,of,"[(14, 15)]","[(14, 15)]",0
"Most of the municipalities are located on the islands in the Sulu Archipelago . Two of them , Mapun , and Turtle Islands lie within the Sulu Sea .","Most of the municipalities are located on the islands in the Sulu Archipelago . Two of them , Mapun , and Turtle Islands lie within the Sulu Sea .",Two,Two,"[(14, 15)]","[(14, 15)]",0
"Angelique Kerber won the title , defeating Karolína Plíšková in the final , 6 -- 3 , 5 -- 7 , 6 -- 4 .","Angelique Kerber won the title , defeating Karolína Plíšková in the final , 6 -- 3 , 5 -- 7 , 6 -- 4 .",",",",","[(12, 13)]","[(12, 13)]",0
"He later joined the 25th Regiment of Foot , 8th Husaren , and ended his military career with the rank of a major in the 11th husaren in 1865 .","He later joined the 25th Regiment of Foot , 8th Husaren , and ended his military career with the rank of a major in the 11th husaren in 1865 .",military,military,"[(15, 16)]","[(15, 16)]",0
First Bharathiraja was presented in the film `` Alaigal Oivathillai '' by Karthik .,First Bharathiraja was presented in the film `` Alaigal Oivathillai '' by Karthik .,``,``,"[(7, 8)]","[(7, 8)]",0
"The body is black , the limbs and fingers are long and the tail is white .","The body is black , the limbs and fingers are long and the tail is white .",fingers,fingers,"[(8, 9)]","[(8, 9)]",0
"Webmention was originally published in the IndieWebCamp community and was developed as a W3C Working Draft on January 12 , 2016 .","Webmention was originally published in the IndieWebCamp community and was developed as a W3C Working Draft on January 12 , 2016 .",as,as,"[(11, 12)]","[(11, 12)]",0
"The mouth of the Batten Kill is in East Dorset , Vermont , and the source of the river is in Easton , New York .","The mouth of the Batten Kill is in East Dorset , Vermont , and the source of the river is in Easton , New York .",and,and,"[(13, 14)]","[(13, 14)]",0
"Abolitionists rose to the defense of Ellen and William Craft in 1850 , Shadrach Minkins in 1851 , and Anthony Burns in 1854 .","Abolitionists rose to the defense of Ellen and William Craft in 1850 , Shadrach Minkins in 1851 , and Anthony Burns in 1854 .",",",",","[(12, 13)]","[(12, 13)]",0
"Chittoor District , is a district of Andhra Pradesh region of the Indian state of Rayalaseema .","Chittoor District , is a district of Andhra Pradesh region of the Indian state of Rayalaseema .",Pradesh,Pradesh,"[(8, 9)]","[(8, 9)]",0
These airlines connect more than 80 cities across India and also operate overseas routes after the liberalisation of Indian aviation .,These airlines connect more than 80 cities across India and also operate overseas routes after the liberalisation of Indian aviation .,also,also,"[(10, 11)]","[(10, 11)]",0
Google allows business owners to check their own business data and has also recruited volunteers to verify and correct soil foreclosure data .,Google allows business owners to check their own business data and has also recruited volunteers to verify and correct soil foreclosure data .,has,has,"[(11, 12)]","[(11, 12)]",0
"Born in 1935 in Mansfield , Nottinghamshire , Curry died in 1990 at the age of 54 in Longbenton , Northumberland .","Born in 1935 in Mansfield , Nottinghamshire , Curry died in 1990 at the age of 54 in Longbenton , Northumberland .",1990,1990,"[(11, 12)]","[(11, 12)]",0
"He received a formal koan in 1988 - studied with Yamada Koun and completed the Dharma name Tetsu-un , `` Wisdom - Cloud '' .","He received a formal koan in 1988 - studied with Yamada Koun and completed the Dharma name Tetsu-un , `` Wisdom - Cloud '' .",and,and,"[(12, 13)]","[(12, 13)]",0
"Moreover , many Angika speakers have emigrated to the Persian Gulf , the United States , Canada , the United Kingdom and other countries .","Moreover , many Angika speakers have emigrated to the Persian Gulf , the United States , Canada , the United Kingdom and other countries .",the,the,"[(12, 13)]","[(12, 13)]",0
"On 24 July 2013 , John Hodgman appeared on the Maximum Fun Podcast `` Judge Brother Ali '' as '' Expert Witness '' .","On 24 July 2013 , John Hodgman appeared on the Maximum Fun Podcast `` Judge Brother Ali '' as '' Expert Witness '' .",Podcast,Podcast,"[(12, 13)]","[(12, 13)]",0
"Lukaszuk has two daughters , one with his previous wife , news anchor Stacey Brotzel CTV Edmonton and one with his current wife .","Lukaszuk has two daughters , one with his previous wife , news anchor Stacey Brotzel CTV Edmonton and one with his current wife .",anchor,anchor,"[(12, 13)]","[(12, 13)]",0
She sailed over Sydney and arrived on 14 September in Rio de Janeiro .,She sailed over Sydney and arrived on 14 September in Rio de Janeiro .,14,14,"[(7, 8)]","[(7, 8)]",0
"Planned are new exhibitions in Southend ( 2016 ) , Bow ( 2017 ) and Southampton ( 2017 ) .","Planned are new exhibitions in Southend ( 2016 ) , Bow ( 2017 ) and Southampton ( 2017 ) .",Bow,Bow,"[(10, 11)]","[(10, 11)]",0
The music was composed by Darsan Raman and the lyrics written by Mariamma Philip .,The music was composed by Darsan Raman and the lyrics written by Mariamma Philip .,and,and,"[(7, 8)]","[(7, 8)]",0
Searching a specific search tree for a binary key can be programmed recursively or iteratively .,Searching a specific search tree for a binary key can be programmed recursively or iteratively .,key,key,"[(8, 9)]","[(8, 9)]",0
"After conferences between Leonard and Griffith in New York , Griffith flew to Los Angeles and filmed the episode .","After conferences between Leonard and Griffith in New York , Griffith flew to Los Angeles and filmed the episode .",Griffith,Griffith,"[(10, 11)]","[(10, 11)]",0
Steve was the father of Ted and Tom .,Steve was the father of Ted and Tom .,of,of,"[(4, 5)]","[(4, 5)]",0
Major General Francis Okello replaced Major General Nathan Mugisha as commander of AMISOM on 7 July 2009 .,Major General Francis Okello replaced Major General Nathan Mugisha as commander of AMISOM on 7 July 2009 .,as,as,"[(9, 10)]","[(9, 10)]",0
Ricky decides to fight for Nate and confirms his love for her .,Ricky decides to fight for Nate and confirms his love for her .,and,and,"[(6, 7)]","[(6, 7)]",0
"Kathy Rinaldi defeated Bonnie Gadusek at 6 -- 1 , 6 -- 3 .","Kathy Rinaldi defeated Bonnie Gadusek at 6 -- 1 , 6 -- 3 .",--,--,"[(7, 8)]","[(7, 8)]",0
`` Volta '' was refloated and scrapped on 24 November 1943 and bombed and sunk in 1948 .,`` Volta '' was refloated and scrapped on 24 November 1943 and bombed and sunk in 1948 .,November,November,"[(9, 10)]","[(9, 10)]",0
Separate lists are provided for the 61 listed properties and historical districts in Evanston and the more than 350 listed properties and districts in Chicago .,Separate lists are provided for the 61 listed properties and historical districts in Evanston and the more than 350 listed properties and districts in Chicago .,Evanston,Evanston,"[(13, 14)]","[(13, 14)]",0
The 1979 -- 80 National Basketball Association season was the 34th season of the NBA .,The 1979 -- 80 National Basketball Association season was the 34th season of the NBA .,was,was,"[(8, 9)]","[(8, 9)]",0
"Casper is expressed in the second season by Robbie Sublett in the film , Matthew Géczy in the first season and Devon Werkheiser .","Casper is expressed in the second season by Robbie Sublett in the film , Matthew Géczy in the first season and Devon Werkheiser .",film,film,"[(12, 13)]","[(12, 13)]",0
"Some Hebrew and Aramaic abbreviations may not be included here , and more can be found in the list of Aramaic abbreviations or in the list of Hebrew abbreviations .","Some Hebrew and Aramaic abbreviations may not be included here , and more can be found in the list of Aramaic abbreviations or in the list of Hebrew abbreviations .",found,found,"[(15, 16)]","[(15, 16)]",0
"This series was exclusive to Wal-Mart Canada , but was sold online in the Spawn Store .","This series was exclusive to Wal-Mart Canada , but was sold online in the Spawn Store .",but,but,"[(8, 9)]","[(8, 9)]",0
"In May 2013 , the title track was a single - five - top on the Texas Music - Chart .","In May 2013 , the title track was a single - five - top on the Texas Music - Chart .",-,-,"[(10, 11)]","[(10, 11)]",0
"A semilinear transformation is a transformation which is linear `` up to a twist '' , meaning `` up to a field automorphism under scalar multiplication '' .","A semilinear transformation is a transformation which is linear `` up to a twist '' , meaning `` up to a field automorphism under scalar multiplication '' .",'','',"[(14, 15)]","[(14, 15)]",0
"He married them and rejected his current wife for money , so he could rebuild the family business .","He married them and rejected his current wife for money , so he could rebuild the family business .",money,money,"[(9, 10)]","[(9, 10)]",0
"Aguiari described it as `` a beautiful action alone in the middle of traffic , but up there with a Zen statue '' .","Aguiari described it as `` a beautiful action alone in the middle of traffic , but up there with a Zen statue '' .",of,of,"[(12, 13)]","[(12, 13)]",0
"More recently , the band has combined Extra Life Aspects of Old Music with the modern genre of Math Rock .","More recently , the band has combined Extra Life Aspects of Old Music with the modern genre of Math Rock .",of,of,"[(10, 11)]","[(10, 11)]",0
"Leonard and Madonna had added Spanish phrases in the chorus , over the trumpets of the second verse , and also in the added instrumental break in the middle .","Leonard and Madonna had added Spanish phrases in the chorus , over the trumpets of the second verse , and also in the added instrumental break in the middle .",the,the,"[(15, 16)]","[(15, 16)]",0
"The son of Olin M. Jeffords , serving as Chief Justice of the Supreme Court of Vermont , was born James Jeffords in Rutland , Vermont .","The son of Olin M. Jeffords , serving as Chief Justice of the Supreme Court of Vermont , was born James Jeffords in Rutland , Vermont .",Supreme,Supreme,"[(13, 14)]","[(13, 14)]",0
His current research investigates the influence of Jewish ideas and stories on Islamic sources .,His current research investigates the influence of Jewish ideas and stories on Islamic sources .,Jewish,Jewish,"[(7, 8)]","[(7, 8)]",0
"It was premiered at the Borneo Eco Film Festival on September 30 , 2012 , because it was first shown in Borneo .","It was premiered at the Borneo Eco Film Festival on September 30 , 2012 , because it was first shown in Borneo .",30,30,"[(11, 12)]","[(11, 12)]",0
"In 1308 , Alauddin ordered Alp Khan to support Malik Kafur during the invasion of Devagiri .","In 1308 , Alauddin ordered Alp Khan to support Malik Kafur during the invasion of Devagiri .",support,support,"[(8, 9)]","[(8, 9)]",0
